epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4055.5,0.35709,0.24207,0.97829,0.99347,0.96976,0.98348,0.93369,0.31394,0.19832,0.82764,0.000231938,0.000231938,0.000231938
57,4127.54,0.34339,0.23139,0.96772,0.989,0.96544,0.98257,0.93642,0.30711,0.19979,0.82371,0.000210173,0.000210173,0.000210173
58,4203.28,0.34094,0.22231,0.96228,0.99163,0.96447,0.98395,0.93912,0.30409,0.19652,0.82208,0.000188408,0.000188408,0.000188408
59,4272.11,0.33475,0.22139,0.96107,0.99152,0.96539,0.9835,0.93881,0.29965,0.19204,0.81748,0.000166643,0.000166643,0.000166643
60,4340.72,0.32839,0.21607,0.95231,0.99285,0.96561,0.98415,0.93962,0.29909,0.18951,0.81657,0.000144879,0.000144879,0.000144879
61,4410.86,0.32487,0.21227,0.95053,0.99282,0.96558,0.98532,0.9426,0.29873,0.18864,0.81588,0.000123114,0.000123114,0.000123114
62,4482.28,0.31937,0.20704,0.94778,0.99255,0.96682,0.98465,0.94256,0.29533,0.18555,0.81538,0.000101349,0.000101349,0.000101349
63,4553.79,0.31537,0.20222,0.94438,0.99296,0.96738,0.98516,0.94272,0.29277,0.18328,0.8139,7.95843e-05,7.95843e-05,7.95843e-05
64,4625.52,0.3136,0.20207,0.9456,0.99155,0.96463,0.98419,0.94207,0.289,0.18481,0.81012,5.78195e-05,5.78195e-05,5.78195e-05
65,4696.9,0.30848,0.19943,0.94409,0.99513,0.96812,0.98574,0.94427,0.28824,0.17836,0.80932,3.60548e-05,3.60548e-05,3.60548e-05
